title,price,link
N/A,"72,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MjMyMjE0MzQxNjcwMDk4OjE3Mjc4NzMyOTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIwMDQ3MzI5NTIzMjo6NDo6&url=%2FDell-Smartchoice-G15-5530-Gaming-i5-13450HX%2Fdp%2FB0CRKXDX83%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D1A01HI1R1B87%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.HYDwFMdGHohC0Q9UL6h8o9TVZ8eof-kbl5Ky1vtr5nbRRSzdmssqD3dX8AQHb8zJsJCbQ4Fv3sTRUKclou7h8A.z37kZfWeRf8XjuFczkakAAxhRsvDcTzxyTQJV41RnSU%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CRKXDX83%26pd_rd_r%3D907f1819-30d6-48cc-aab1-79da8370bc1b%26pd_rd_w%3DcWDXV%26pd_rd_wg%3DLP6an%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D6HNSYRG3KYCS69ZVE6KB%26qid%3D1727873290%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C651%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"68,190",https://amazon.in/sspa/click?ie=UTF8&spc=MToyMTk0MDQ4MDc1OTM5NDg0OjE3Mjc4NzMzMDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0MzE3MzQ1MjczMjo6Mzo6&url=%2FLenovo-i5-12450HX-300Nits-Graphics-83GS0098IN%2Fdp%2FB0DB218DK7%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1A01HI1R1B87%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.Z5MeKD6bWkIMifZM3EMBFjwBPWjer4pN2n0YPy31rXYfJP3vXkx8iw1SwOEGZ-hYqvS01tqUeYNHJhAa4Ppl-A.QxS8_jH62O17pKAkPziKccgTGQ7QCefbD-ZgbduyImk%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0DB218DK7%26pd_rd_r%3Dc44f0b54-e41a-4781-b8b2-b0a953bc8e14%26pd_rd_w%3DjtBRv%26pd_rd_wg%3DoM1yZ%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DGFCAJ9ZD81783S02AYKC%26qid%3D1727873301%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C651%26sr%3D1-20-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"66,190",https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTI0NTE2NzkwNDUzNDUzOjE3Mjc4NzMzMTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTQ3MDQ5NjIzMjo6Mzo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1A01HI1R1B87%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.cGNgc_2KiuVy9_ESQrdEs7aL3b7pklj5CYgPx7J9P06cV7S751D2KhYGn5Q5I8ryh5NlDp8SPKruBZeAWMWPvA.8ZRhnZCo7vVcauMMwGbuvtDutVimFN-hUHQ_gdE-Xmo%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CX8XPKWJ%26pd_rd_r%3Dc3abf6fa-d3c4-4d26-a2e7-76092be56435%26pd_rd_w%3D5rMDK%26pd_rd_wg%3DTcg0G%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DW0HBQNAX6C6829K733XQ%26qid%3D1727873312%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C651%26sr%3D1-36-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS TUF Gaming F17 (2022) Intel Core i5-12500H Gaming Laptop,17.3""(43.94 cms) FHD 144Hz, RTX 3050 4GB GPU, (16GB RAM /512GB SSD/90WHr Battery/Windows 11/Gray/2.6 Kg), FX707ZC4-HX067W","64,990",https://amazon.in/ASUS-i5-12500H-Battery-Windows-FX707ZC4-HX067W/dp/B0C8JJWSXP/ref=sr_1_83?crid=1A01HI1R1B87&dib=eyJ2IjoiMSJ9.AkK1qaTtgdxqHRVQWZbCUT-AD3lsguOo8HYf8RhvOsCy8junxLNJlcBBhc1axgJKs39V-EN2R6C_Ncwnfaj5yxmmTdrz818QyYx4JSxhAi2Ipe6lTdZurYOavDvahFWg6tgAyGzaK_qJiLktdUDMe8rF5uDnDEN81FTVOvCXJovz7NWNNHAgfhll4b7airTSRnfzqHJhYLY_2SstATLvYBzE3x9uz-7tGwXsndtZPas.Q3nrUPCRhqcPOXhQDHBS2fDDO0tY-6jStKISTxEwD5w&dib_tag=se&keywords=laptop&qid=1727873357&sprefix=lapt%2Caps%2C651&sr=8-83
"Dell Inspiron 5430 13th Gen Laptop, Intel Core i5-1335U Processor/16GB/ 512GB SSD/14.0"" (35.56cm) FHD+/Backlit KB + FPR/Windows 11 + MSO'2/McAfee 15 Months/Thunderbolt 4.0 ​Port/Thin & Light-1.59kg","64,490",https://amazon.in/Dell-Inspiron-i5-1335U-35-56Cms-Thunderbolt/dp/B0C1595WPW/ref=sr_1_38?crid=1A01HI1R1B87&dib=eyJ2IjoiMSJ9.rMz_5N9UqFiUt0jeVSNDBlbzA7PkE3FN4xbvvJWpgr1EI6Yb19RnS00v9Wvadah_-qSF_R9oAHpbJF5lmR3lkRQruUKOhnSWFf4me-OVP-sb3cvtADxkpZ7nBXHCpsgs22nAHaKdpWOZTsm95lIIoXMWvtcIHp--KLrZN5wMsssw2blLEm1La2VgZ6Aj7kETVkSzw3H6blDwldIEXxCLbl2vygpU9gYBnEBmx0NlkJg.N6d7xvcQNSYNQGv7jyjIob7Nke8sOGuY1Aqn5AAvLAk&dib_tag=se&keywords=laptop&qid=1727873312&sprefix=lapt%2Caps%2C651&sr=8-38
N/A,"63,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToyMTk0MDQ4MDc1OTM5NDg0OjE3Mjc4NzMzMDI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1MDI1NjQ0MzYzMjo6MTo6&url=%2FHP-i5-12450H-15-6-inch-Response-fa0666TX%2Fdp%2FB0C2HZYM87%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1A01HI1R1B87%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.Z5MeKD6bWkIMifZM3EMBFjwBPWjer4pN2n0YPy31rXYfJP3vXkx8iw1SwOEGZ-hYqvS01tqUeYNHJhAa4Ppl-A.QxS8_jH62O17pKAkPziKccgTGQ7QCefbD-ZgbduyImk%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0C2HZYM87%26pd_rd_r%3Dc44f0b54-e41a-4781-b8b2-b0a953bc8e14%26pd_rd_w%3DjtBRv%26pd_rd_wg%3DoM1yZ%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DGFCAJ9ZD81783S02AYKC%26qid%3D1727873301%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C651%26sr%3D1-18-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN","61,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MTU5NTY1MDQ0ODY1NDQ2OjE3Mjc4NzMzNTc6c3BfbXRmOjMwMDI0NjA4OTY2MDczMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_75_sspa%3Fcrid%3D1A01HI1R1B87%26dib%3DeyJ2IjoiMSJ9.AkK1qaTtgdxqHRVQWZbCUT-AD3lsguOo8HYf8RhvOsCy8junxLNJlcBBhc1axgJKs39V-EN2R6C_Ncwnfaj5yxmmTdrz818QyYx4JSxhAi2Ipe6lTdZurYOavDvahFWg6tgAyGzaK_qJiLktdUDMe8rF5uDnDEN81FTVOvCXJovz7NWNNHAgfhll4b7airTSRnfzqHJhYLY_2SstATLvYBzE3x9uz-7tGwXsndtZPas.Q3nrUPCRhqcPOXhQDHBS2fDDO0tY-6jStKISTxEwD5w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727873357%26sprefix%3Dlapt%252Caps%252C651%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W","60,990",https://amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_34?crid=1A01HI1R1B87&dib=eyJ2IjoiMSJ9.1xsZ21ZlJC_gZVceaWVRmAv4GElPpon36UE37o3Y3nXpxdCFo2kLoQGb9mCqb13po25az9PhzaMs-XoEdtwCvPHloH7m4rN1Mqbia1jTqYOL-DJNeReFv9aJAhGn_TRCzG88MKjVx5JJpLlCrEx0qhrdfDPoIRHeO5wx05lMVTF1CHby-WvrlyMGrz_eFeUTtnR3yLnRU0hbCBx9RYRTTS9v4iiOmpDYmJWPYD2epgU.HV7MgvG3miJEZyLwu5E8JTbiOyB860qua1KygiwJUis&dib_tag=se&keywords=laptop&qid=1727873301&sprefix=lapt%2Caps%2C651&sr=8-34
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/1Yr ADP Free/Alexa/Grey/1.6Kg), 83EM008GIN","59,990",https://amazon.in/Lenovo-IdeaPad-i7-13620H-Graphics-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_20?crid=1A01HI1R1B87&dib=eyJ2IjoiMSJ9.1xsZ21ZlJC_gZVceaWVRmAv4GElPpon36UE37o3Y3nXpxdCFo2kLoQGb9mCqb13po25az9PhzaMs-XoEdtwCvPHloH7m4rN1Mqbia1jTqYOL-DJNeReFv9aJAhGn_TRCzG88MKjVx5JJpLlCrEx0qhrdfDPoIRHeO5wx05lMVTF1CHby-WvrlyMGrz_eFeUTtnR3yLnRU0hbCBx9RYRTTS9v4iiOmpDYmJWPYD2epgU.HV7MgvG3miJEZyLwu5E8JTbiOyB860qua1KygiwJUis&dib_tag=se&keywords=laptop&qid=1727873301&sprefix=lapt%2Caps%2C651&sr=8-20
N/A,"59,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTI0NTE2NzkwNDUzNDUzOjE3Mjc4NzMzMTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExOTExMzQzNjIzMjo6Mjo6&url=%2FHP-Pavilion-Micro-Edge-Graphics-14-dv2014TU%2Fdp%2FB0B1M9HYBT%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1A01HI1R1B87%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.cGNgc_2KiuVy9_ESQrdEs7aL3b7pklj5CYgPx7J9P06cV7S751D2KhYGn5Q5I8ryh5NlDp8SPKruBZeAWMWPvA.8ZRhnZCo7vVcauMMwGbuvtDutVimFN-hUHQ_gdE-Xmo%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0B1M9HYBT%26pd_rd_r%3Dc3abf6fa-d3c4-4d26-a2e7-76092be56435%26pd_rd_w%3D5rMDK%26pd_rd_wg%3DTcg0G%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DW0HBQNAX6C6829K733XQ%26qid%3D1727873312%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C651%26sr%3D1-35-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
